COMPANY NAME,CIPLA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-265.63,164.78,3104.06,-1325.68,-385.48,-348.72,-2948.82,-1239.51,-1599.79,-958.29
Net Cash Flow,32.75,388.5,312.31,-247.8,243.11,-345.1,234.02,141.3,-132.32,-96.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,382.8,712.45,511.95,592.95,545.45,528.9,422.85,815.1,1018.05,900.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,80.29,80.3,80.34,80.45,80.51,80.57,80.62,80.65,80.68,80.72
