COMPANY NAME,VODAFONE IDEA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-2466.08,8027.98,-9330.08,4506.13,3924.9,-2949.4,-5018.7,-16731.4,-10553.8,-14679.5
Net Cash Flow,-811.49,12720.21,-770.46,-573.89,-45.9,758.2,-388.9,-16.6,1102.9,-1224.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,83.04,111.16,66.58,51.87,45.85,18.25,3.1,9.25,9.65,5.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1091.98,1183.5,1184.38,1185.96,1433.99,2873.54,2873.54,2873.54,3211.88,4867.97
