COMPANY NAME,ASIAN PAINTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-576.09,-848.98,-756.43,-1379.14,-1117.46,-2871.46,-650.4,-1807.61,-2140.05,
Net Cash Flow,146.61,527.76,89.79,-821.84,434.29,-351.22,2492.41,-1137.87,771.04,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,811.3,868.4,1073.5,1120.4,1492.7,1666.5,2537.4,3079.95,2761.65,2846.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92
