COMPANY NAME,BAJAJ AUTO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-1644.18,-3384.08,-190.09,-1885.26,-2074.05,-6246.51,-19.52,-4056.33,-7180.7,-6167.36
Net Cash Flow,89.96,238.25,-532.41,488.1,140.04,-630.24,231.21,417.08,-692.07,47.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2016.6,2405.95,2805.45,2744.7,2911.1,2022.35,3670.6,3653,3884.75,9148.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.94,28.3,27.92
