COMPANY NAME,AUROBINDO PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,117.64,93.21,365.44,-1915.26,864.15,1919.06,-1947.18,-1364.94,-2969.27,1814.41
Net Cash Flow,-54.71,313.08,339.69,-423.86,891.91,665.64,871.24,2560.68,-1164.15,223.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,255.75,610.8,744.9,675.2,557.85,784.25,413.15,881.3,668.55,518.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,58.29,58.4,58.52,58.59,58.59,58.59,58.59,58.59,58.59,58.59
