COMPANY NAME,MAHINDRA & MAHINDRA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,-243.74,1054.86,2384.76,183.09,681.86,-4347.29,-1456.93,17908.83,9247.55,-7074.02
Cash from Investing Activity,-4523.6,-4357.45,-5505.97,-5875.29,-5467.22,-7173.97,-6869.79,-19685.5,-3251.95,-8866.27
Cash from Financing Activity,5577.38,1669.38,2966.81,6107.97,6314.5,13193.63,6932.75,406.23,-5882.6,15946.11
Net Cash Flow,810.04,-1633.21,-154.4,415.77,1529.14,1672.37,-1393.97,-1370.44,113,5.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,490.35,593.9,605.35,643.45,738.9,673.9,284.95,795.25,806.55,1158.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,123.18,124.22,124.22,124.22,124.32,124.32,124.32,124.32,124.32,124.35
