COMPANY NAME,NTPC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-15509.23,-15977.16,-19161.54,-24480.13,-20678.11,-24063.28,-29628.15,-21034.45,-22890.92,-26107.2
Cash from Financing Activity,-2709.06,-1474.5,-3899.34,3137.96,1027.78,4926.75,6004.26,-11049.11,-19171.56,-14154.47
Net Cash Flow,-1687.45,-2563.13,1063.99,-1175.61,19.28,-450.88,265.78,360.5,-274.25,-210.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,99.92,122.37,107.37,138.33,141.42,134.7,84.2,106.55,135,175.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,989.46,989.46,989.46,989.46,989.46,989.46,989.46,969.67,969.67,969.67
