COMPANY NAME,INDIAN OIL CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,46092.12,25624.23,28216.12,29115.29,12746.52,7146.25,49650.22,25746.67,29643.72,71098.63
Cash from Investing Activity,-10215.23,-13610.44,-17684.41,-17118.7,-22568.61,-29100.76,-22934.67,-21293.57,-28029.56,-31463.75
Cash from Financing Activity,-38282.66,-11889.71,-10937.06,-12007.36,10436.45,22456.03,-27368.97,-4057.7,-1794.4,-39384.64
Net Cash Flow,-2405.77,124.08,-405.35,-10.77,614.36,501.52,-653.42,395.4,-180.24,250.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,61.45,65.6,129.02,117.73,108.57,54.43,61.23,79.3,77.9,167.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1456.76,1456.76,1456.78,1456.77,1412.12,1412.12,1412.12,1412.12,1412.12,1412.12
