COMPANY NAME,ADANI ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,3445.23,-3448.05,715.82,5119.57,-6158.41,-220.9,3108.81,15901.42,-1197.52,8878.68
Net Cash Flow,512.15,-161.21,30.12,413.11,-435.58,1150.81,-1458.54,246.08,970.1,108.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,219.86,49.31,72.53,104.5,146.75,137.6,1031.15,2014.75,1750.45,3197.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,114,114
