COMPANY NAME,BHARAT PETROLEUM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,20741.65,11119.04,9041.11,11068.37,10157.15,7881.01,23455.14,20335.63,12465.6,
Cash from Investing Activity,-10535.63,-9232.69,-15273.94,-7065.51,-10451.17,-11135.11,-2474.04,-8137.57,-7806.41,
Cash from Financing Activity,-9792,-1331.57,4803.96,-4217.73,207.04,3583.21,-13980.9,-17671.68,-4402.01,
Net Cash Flow,414.02,554.78,-1428.87,-214.87,-86.98,329.11,7000.2,-5473.62,257.18,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,270.27,301.44,433.23,427.45,397.55,316.9,427.95,359.35,344.3,602.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,216.92,216.92,216.93,216.93,216.93,216.93,216.93,216.93,216.93,216.93
