COMPANY NAME,BHARTI AIRTEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,2774.4,-9672.4,-11946.1,-351.4,1920.5,9463.8,19144.4,-24910.3,-15203.2,-24469.5
Net Cash Flow,3826.4,-3914.5,1904.8,-2751.5,3834.8,1248.4,7674.6,-3990.9,-1664.3,1622.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,286.37,354.46,316.15,315.48,359.33,300.21,432.77,507.76,754.95,749
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,549.75,549.75,549.75,549.75,549.75,549.75,584.52,588.43,588.43,557.51
