COMPANY NAME,GMR AIRPORTS INFRASTRUCTURE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,633.56,448.32,-2017.99,-5726.82,-1191.16,815.8,1616.71,-1055.94,-3893.86,1731.29
Net Cash Flow,-2288.8,203.81,-180.4,262.95,194.01,-736.56,2005.25,1381.77,-2680.59,1620.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,19.85,15.38,10.74,14.82,15.61,18.34,15.14,22.51,36.95,40.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,472.65,529.58,603.59,603.59,603.59,603.59,603.59,603.59,603.59,603.59
