COMPANY NAME,LARSEN & TOUBRO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,-1365.38,-3239.59,6655.26,-10031.02,-4755.83,6693.88,23073.82,19163.58,22776.96,
Cash from Investing Activity,-4778.15,-4626.56,-9795.94,3914.5,-11022.8,-8407.71,-5750.49,-3585.38,-8048.02,
Cash from Financing Activity,7902.86,7252.7,2895.93,9370.46,15440.17,6371.55,-15274.38,-15181.48,-11572.49,
Net Cash Flow,1759.33,-613.45,-244.75,3253.94,-338.46,4657.72,2048.95,396.72,3156.45,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1146.43,811.13,1049.93,1310.9,1385.3,808.5,1418.9,1767.65,2164.2,3763.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,139.43,139.72,139.94,140.14,140.27,140.39,140.46,140.5,140.55,137.47
