COMPANY NAME,GRASIM INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,3549.29,4594.14,5868.36,7287.8,-4139.9,-1658.58,16620.3,15075.08,7037.64,-12685.14
Cash from Investing Activity,-2335.5,-2358.65,-4515.15,-3508.76,1546.33,-2212.37,-11363.99,-7146.24,-1052.55,-13712.13
Cash from Financing Activity,-1046.28,-2277.98,-1364.57,-3798.56,3449.07,4157.99,-3417.98,-8003.45,-6733.13,26469.13
Net Cash Flow,167.51,-42.49,-11.36,-19.52,855.5,287.04,1838.33,-74.61,-748.04,71.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,462.79,580.46,616,840.48,1046.74,854.55,474.22,1444.81,1657.41,1626.24
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,47.45,47.45,48.25,48.25,67.94,67.96,67.98,68.01,68.04,68.05
