COMPANY NAME,ULTRATECH CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-2143.76,-3673.35,-2501.44,1865.72,1165.18,-4191.95,-8856.15,2256.54,-7187.68,-8788.12
Cash from Financing Activity,-2109.82,-844.02,-2534.98,-5735.05,-6757.24,-5075.88,-4356.47,-12497.93,-1631,-1925.65
Net Cash Flow,-63.4,8.14,-31.4,18.39,364.05,-295.4,-712.19,-958.15,249.83,183.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2877.9,3228.75,3984.75,3950,3998.35,3244.85,6737.95,6602.3,7622.15,9749.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,27.44,27.44,27.45,27.46,27.46,28.86,28.87,28.87,28.87,28.87
