COMPANY NAME,HINDUSTAN PETROLEUM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,7007.16,19409.79,6651.45,10254.48,11037.21,8554.03,5469.24,17829.26,15810.23,-3466.31
Cash from Investing Activity,-5151.73,-5667.21,-4271.87,-5304.03,-7397.96,-11381.74,-14167.89,-12278.59,-13744.84,-11383.55
Cash from Financing Activity,-1255.84,-14698.97,-3674.31,-4238.72,-4422.96,2598.21,8451.96,-4709.19,-2066.24,16025.17
Net Cash Flow,599.59,-956.39,-1294.73,711.73,-783.71,-229.5,-246.69,841.48,-0.85,1175.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,68.84,144.4,175.06,350.43,344.85,283.85,190.1,234.5,269.35,236.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,152.37,152.37,152.37,152.38,152.38,152.38,152.38,145.58,141.85,141.85
