COMPANY NAME,JINDAL STEEL & POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-12693.75,-6717.43,-2261.59,-1998.45,-1431.21,-832.07,-1475.61,-1884.23,-2331.32,-4018.5
Cash from Financing Activity,8879.36,5707.93,-2671.91,-5107.74,-6275.64,-8261.39,-7016.42,-4611.98,-15119.57,-2500.46
Net Cash Flow,765.72,172.98,-600.79,-256.36,17.43,-66.57,322.29,5464.72,-1403.12,756.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,292.45,156.8,60.25,121,219.1,179.7,82.2,343.6,532.85,546.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,91.49,91.49,91.49,91.5,96.79,96.79,102,102,102.01,102.01
