COMPANY NAME,OIL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-10064.3,-1991.58,-2677.1,-5865.12,1777.58,-578.43,-2206.52,-8517.27,-4192.06,-9129.96
Cash from Financing Activity,6971.67,-2603.13,-871,2757.99,-5698.28,-940.17,-7331.32,3702.04,-5615.3,-2521.34
Net Cash Flow,-476.55,-2841.16,48.53,6.81,12.37,3504.48,-3045.29,420.04,-497.79,-240.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,242.03,227.48,156.5,222.53,216.35,185.45,82.65,122.8,238.4,251.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,120.23,120.23,120.23,120.23,113.49,108.44,108.44,108.44,108.44,108.44
