COMPANY NAME,NMDC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-5800.7,-3449.44,-6290.35,-7249.32,-1557.17,-3201.03,-1753.31,-2591.32,-4066.85,-2536.5
Net Cash Flow,1376.4,32.54,-143.75,30.54,-45.77,11.28,59.9,358.53,-338.94,-27.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,107.81,99.68,75.87,103.04,91.78,80.86,61.93,104.79,125.84,111.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,396.47,396.47,396.47,316.39,316.39,306.18,306.18,293.06,293.06,293.06
