COMPANY NAME,TATA POWER COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-2238.59,-6183.45,937.34,-4726.26,-5184.45,-5109.57,-7602.88,-1183.2,1340.77,
Net Cash Flow,-122.86,-573.55,578.79,125.94,-883,1772.87,1735.57,-740.94,1243.26,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,77.1,64.65,90.35,79,73.8,32.85,103.25,238.65,190.25,394.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,270.46,270.46,270.48,270.48,270.48,270.48,319.53,319.53,319.53,319.53
