COMPANY NAME,SUN PHARMACEUTICALS INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-2176.18,-1502.35,-3949.13,-4186.15,-3103.8,-310.08,-2225.32,406.53,-5555.86,-7219.92
Cash from Financing Activity,506.57,-1186.53,-1888.53,-2285.39,-1539.26,-2730.52,-5715.14,-5980.48,-5193.46,2376.07
Net Cash Flow,2289.59,2926.86,848.2,610.67,-735.91,-844.15,-1385.69,596.42,-1764.78,115.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,574.75,1023.9,820,688.15,495.1,478.85,352.3,597.8,914.75,983.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,207.12,207.12,240.67,239.93,239.93,239.93,239.93,239.93,239.93,239.93
