COMPANY NAME,STEEL AUTHORITY OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-7488.5,-6291.71,-4805.36,-5466.77,-6479.6,-3694.49,-4260.52,-3294.83,-3975.78,-3370.98
Cash from Financing Activity,1017.34,3775.21,742.73,3302.13,269.42,-3549.08,5003.15,-19807.8,-27397.61,8586.68
Net Cash Flow,-158.41,62.58,-19.88,-4.54,-46.64,-28.42,124.96,327.74,-386.74,-74.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,71.4,67.4,43.1,61.3,70.2,53.75,23.05,78.8,98.55,82.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,413.05,413.05,413.05,413.05,413.05,413.05,413.05,413.05,413.05,413.05
