COMPANY NAME,COAL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,14381.53,13153.77,16460.84,21114.92,16355.52,4977.24,10592.42,41106.77,35686.21,18103.1
Cash from Investing Activity,894.3,8154.09,454.64,-7746.94,-7896.46,1032.84,181.9,-25714.51,-23422.99,-4485.8
Cash from Financing Activity,-15025.71,-19587.35,-17597.97,-13564.22,-10884.84,-4790.87,-8453.14,-13441.24,-13661.14,-13899.27
Net Cash Flow,250.12,1720.51,-682.49,-196.24,-2425.78,1219.21,2321.18,1951.02,-1397.92,-281.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,362.9,291.95,292.65,283.3,237.2,140.05,130.35,183.05,213.65,434.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,631.64,631.64,620.74,620.74,616.27,616.27,616.27,616.27,616.27,616.27
