COMPANY NAME,TATA STEEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,13145.89,11879.77,11455.35,10824.36,8023.39,25335.95,20168.72,44326.68,44380.99,21683.08
Cash from Investing Activity,-15378.25,-9021.13,-8794.31,-9489.65,-11730.31,-29176.45,-14012.06,-9437.27,-10905.02,-18179.45
Cash from Financing Activity,1014.56,-2617.19,-4729.12,-2579.36,6639.94,-672.7,-1694.62,-37089.67,-23401.09,-6980.69
Net Cash Flow,-1217.8,241.45,-2068.08,-1244.65,2933.02,-4513.2,4462.04,-2200.26,10074.88,-3477.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,37.54,30.18,30.46,45.99,57.11,52.1,26.96,81.19,130.72,104.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1126.62,1126.62,1126.62,1126.62,1126.48,1126.49,1126.49,1196.59,1221.3,1222.15
