COMPANY NAME,MANGALORE REFINERY AND PETROCHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-2672.37,-1743.61,264.54,-2796.3,-995.95,1157.01,4943.6,-3921.84,-5689.87,-5524.24
Net Cash Flow,-3497.03,-11.8,-1109.17,194.22,-435.7,-2.87,24.03,-20.3,1.28,2.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,67.4,67.4,106.65,109.85,74.3,23.15,38.85,41.6,52.55,218.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,175.26,175.26,175.26,175.26,175.26,175.26,175.26,175.26,175.26,175.26
