COMPANY NAME,GAIL (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-4466.1,-2808.51,-903.73,-334.04,-2659.53,-5700.53,-8299.08,-4640.32,-5489.99,-7452.78
Cash from Financing Activity,-2.59,-3058.47,-3027.6,-5275.39,-5251.62,-3364.28,281.22,-3470.62,-3916.71,2972.06
Net Cash Flow,146.49,-1652.86,29.03,414.83,857.56,-1080.61,327.5,882.46,13.21,-1276.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,70.51,72.71,66.83,94.24,109.52,115.89,51.03,90.33,103.77,105.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,676.52,676.52,676.52,676.53,676.52,676.52,676.52,666.06,666.06,657.51
