COMPANY NAME,BHARAT HEAVY ELECTRICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,523.33,-3542.66,-122.47,-467.87,-667.39,-31.64,1621.99,-394.15,-329.49,88.96
Net Cash Flow,4167.47,-2071.07,275.04,-472.62,1282.89,-1972.94,607.55,123.3,-787.28,827.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,130.7,156.9,75.9,108.57,81.35,74.95,20.8,48.75,49.35,70.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,367.14,367.14,367.14,367.14,367.14,348.21,348.21,348.21,348.21,348.21
