COMPANY NAME,JAIPRAKASH ASSOCIATES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,2546.45,-518.16,-14421.13,-4554.36,-14219.72,-931.19,-570.32,-742.56,-280.64,-624.81
Net Cash Flow,-216.35,-430.02,-745.19,-187.23,46.98,-164.91,-10.04,330.26,-200.49,19.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,53.7,24.8,7.7,13.75,18.9,5.45,1.05,6.9,8.3,6.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,221.91,243.25,243.25,243.25,243.25,243.25,243.25,244.42,245.46,245.46
