COMPANY NAME,AMBUJA CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-721.19,-900.19,-957.59,-1014.67,-719.01,-629.37,-3956.22,-515.76,2931.01,5688.77
Net Cash Flow,498.31,573.77,-2312.22,1663.46,219.6,2918.77,-441.17,2786.46,-10814.88,2384.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,228.85,203.05,206.3,272.05,225.1,196.25,248.85,377.5,365.55,612.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,154.97,155.19,198.56,198.56,198.56,198.56,198.56,198.56,198.56,198.56
