COMPANY NAME,POWER GRID CORPORATION OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,13712.08,6398.76,5620.82,3958.56,1284.68,-2430.78,-18805.84,-20521.05,-28966.94,-29263.98
Net Cash Flow,2295.48,-1985.82,-947.6,1697.86,-1706.65,2112.93,1199.3,-362.36,-2090.63,2615.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,59.06,81.71,78.25,110.99,108.71,111.32,89.5,121.31,162.6,169.28
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,930.07,930.07,930.07,930.07,930.07,930.07,930.07,930.07,930.06,930.06
