COMPANY NAME,ITC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Investing Activity,-3254.08,-5275.43,-3920.73,-3250.93,-7113.89,-5545.68,-6174.02,5739.98,-2238.49,-5732.29
Cash from Financing Activity,-4121.54,-4661.03,-5612.52,-7301.03,-6221.13,-6868.64,-8181.48,-18633.83,-13580.5,-13006.03
Net Cash Flow,-32.04,-93.26,265.79,75.35,-165.62,169.09,334.16,-366.88,-43.48,139.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,235.23,217.23,218.83,280.3,255.5,297.25,171.7,218.5,250.65,383.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1192.98,1202.33,1207.08,1214.74,1220.43,1225.86,1229.22,1230.88,1232.33,1242.8
