COMPANY NAME,TATA MOTORS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Operating Activity,36151.16,35531.26,37899.54,30199.25,23857.42,18890.75,26632.94,29000.51,14282.83,35388.01
Cash from Investing Activity,-27990.91,-36232.35,-36693.9,-39571.4,-25139.14,-20878.07,-33114.55,-25672.5,-4443.66,-15417.17
Cash from Financing Activity,-3883.24,5201.44,-3795.12,6205.3,2011.71,8830.37,3389.61,9904.2,-3380.17,-26242.9
Net Cash Flow,4277.01,4500.35,-2589.48,-3166.85,729.99,6843.05,-3092,13232.21,6459,-6272.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,394.42,544.37,386.6,465.85,326.85,174.25,71.05,301.8,433.75,420.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,288.74,288.74,288.72,288.73,288.73,288.73,308.9,332.03,332.07,332.13
