COMPANY NAME,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-1080.1,494.5,-263.2,5517.6,-2221.4,-224.6,-2802.9,-2097.5,-1217.4,-2734
Net Cash Flow,242.6,1039.8,19.1,3172,-2151.5,769.3,1328.9,1067.8,-1059.1,-339.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,41.35,83.33,64.67,90.27,113.21,81.76,33.34,110.02,92.97,67.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,446.49,446.49,446.48,473.7,473.69,473.69,473.69,473.69,677.64,677.64
