COMPANY NAME,OIL & NATURAL GAS CORPN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,53270.38,33950.42,46292.49,45780.48,56792.1,61457.6,70592.98,47185.19,78248.25,84211.33
Cash from Investing Activity,-63632.56,-30058.33,-38255.87,-43814.55,-66798.14,-37131.63,-53159.05,-39141.15,-41197.15,-72798.97
Cash from Financing Activity,15224.62,-10640.78,-8972,-1867.05,9909.36,-23324.5,-16726.36,-8239.48,-35790.02,-12916.35
Net Cash Flow,4862.44,-6748.68,-935.38,98.87,-96.69,1001.47,707.57,-195.44,1261.09,-1503.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,212.47,204.23,142.73,185,177.8,159.75,68.3,102.15,163.9,151.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1283.32,1283.32,1283.32,1283.32,1283.32,1258.03,1258.03,1258.03,1258.03,1258.03
