COMPANY NAME,ASHOK LEYLAND LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,461.29,781.19,1659.96,737.74,1905.42,2397.75,1238.85,1330.67,-377.63,7280.59
Net Cash Flow,-20.37,751.83,841.2,-668.05,204.9,549.35,420.85,-707.2,549.92,-122.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,23.65,73.3,108.6,84.55,145.45,91.3,43.05,113.5,117.25,139.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,266.07,284.59,284.59,284.59,292.71,293.55,293.55,293.55,293.55,293.61
