COMPANY NAME,NLC INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Cash from Financing Activity,-946.41,-1230.51,62.65,-67.79,98.21,4415.56,4163.48,-2037.06,-7001.36,-1734.67
Net Cash Flow,1397.74,-696.27,-16.5,-3174.33,38.51,-83.44,-1.53,140.38,-17.93,-61.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,61.15,69.55,71.15,107.35,83.75,69.4,43.9,50.4,62.55,77.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,167.77,167.77,167.77,152.86,152.86,138.66,138.66,138.66,138.66,138.66
